layer,arm,params,recall@1,recall@5,recall@10,mrr,ndcg@10,xlang_recall@5,code_recall@5,hardneg_error,supersede_correct
L1,dense,,0.8068,0.9659,0.9659,0.8816,0.9034,1.0,1.0,0.1111,0.5
L1,lexical,,0.5227,0.7727,0.8295,0.6265,0.6761,0.5,1.0,0.2222,0.125
L1,bm25s,,0.5,0.7727,0.8295,0.6152,0.6677,0.5,1.0,0.2222,0.125
L1,weighted,w=0.3,0.5682,0.8409,0.9318,0.6884,0.7474,0.6,1.0,0.2222,0.5
L1,weighted,w=0.5,0.6023,0.9205,0.9886,0.7403,0.8008,0.85,1.0,0.1852,0.5
L1,weighted,w=0.7,0.7386,0.9659,0.9886,0.8373,0.8751,1.0,1.0,0.1481,0.5
L1,rrf,k=10,0.6818,0.9545,0.9886,0.7922,0.8404,1.0,1.0,0.1481,0.5
L1,rrf,k=20,0.6818,0.9545,0.9886,0.7922,0.8404,1.0,1.0,0.1481,0.5
L1,rrf,k=40,0.6818,0.9545,0.9886,0.7922,0.8404,1.0,1.0,0.1481,0.5
L1,rrf,k=60,0.6818,0.9545,0.9886,0.7922,0.8404,1.0,1.0,0.1481,0.5
L1,rrf,k=100,0.6818,0.9545,0.9886,0.7922,0.8404,1.0,1.0,0.1481,0.5
L1,weighted+sup-pen,"w=0.5,g=0.02",0.6023,0.9205,0.9886,0.7403,0.8008,0.85,1.0,0.1852,0.5
L1,weighted+sup-pen,"w=0.5,g=0.05",0.6023,0.9205,0.9886,0.7403,0.8008,0.85,1.0,0.1852,0.5
L2,dense,,0.675,0.925,0.925,0.7737,0.8118,,,0.0741,
L2,lexical,,0.75,0.825,0.9,0.7873,0.8135,,,0.1481,
L2,bm25s,,0.725,0.825,0.9,0.7673,0.7982,,,0.1481,
L2,weighted,w=0.3,0.8,0.875,0.95,0.8327,0.8596,,,0.1111,
L2,weighted,w=0.5,0.8,0.95,0.95,0.8496,0.8742,,,0.1111,
L2,weighted,w=0.7,0.8,0.95,1.0,0.8657,0.8978,,,0.0741,
L2,rrf,k=10,0.725,0.95,0.975,0.8175,0.8565,,,0.0741,
L2,rrf,k=20,0.725,0.95,0.975,0.8133,0.8532,,,0.0741,
L2,rrf,k=40,0.725,0.95,0.975,0.8133,0.8532,,,0.0741,
L2,rrf,k=60,0.725,0.95,0.975,0.8133,0.8532,,,0.0741,
L2,rrf,k=100,0.725,0.95,0.975,0.8133,0.8532,,,0.0741,
L2,weighted+sup-pen,"w=0.5,g=0.02",0.8,0.95,0.95,0.8496,0.8742,,,0.1111,
L2,weighted+sup-pen,"w=0.5,g=0.05",0.8,0.95,0.95,0.8496,0.8742,,,0.1111,
