tOn,tOff,emits,emitCorrect,emitFalseOnSuppress,activationPrecision,activationRecall,prefetches,prefetchPrecision,prefetchCoverage,suppressViolations,harmfulActivations
0.5,0.4,5,3,2,0.6,0.097,18,0.111,0.5,5,0
0.5,0.45,5,3,2,0.6,0.097,7,0.0,0.5,4,0
0.55,0.4,4,2,2,0.5,0.065,19,0.105,0.5,5,0
0.55,0.45,4,2,2,0.5,0.065,8,0.0,0.5,4,0
0.55,0.5,4,2,2,0.5,0.065,1,0.0,0.5,2,0
0.55,0.52,4,2,2,0.5,0.065,1,0.0,0.5,2,0
0.6,0.4,1,0,1,0.0,0.0,22,0.091,0.5,5,0
0.6,0.45,1,0,1,0.0,0.0,11,0.0,0.5,4,0
0.6,0.5,1,0,1,0.0,0.0,4,0.0,0.5,2,0
0.6,0.52,1,0,1,0.0,0.0,4,0.0,0.5,2,0
0.6,0.55,1,0,1,0.0,0.0,3,0.0,0.5,2,0
0.62,0.4,1,0,1,0.0,0.0,22,0.091,0.5,5,0
0.62,0.45,1,0,1,0.0,0.0,11,0.0,0.5,4,0
0.62,0.5,1,0,1,0.0,0.0,4,0.0,0.5,2,0
0.62,0.52,1,0,1,0.0,0.0,4,0.0,0.5,2,0
0.62,0.55,1,0,1,0.0,0.0,3,0.0,0.5,2,0
0.65,0.4,1,0,1,0.0,0.0,22,0.091,0.5,5,0
0.65,0.45,1,0,1,0.0,0.0,11,0.0,0.5,4,0
0.65,0.5,1,0,1,0.0,0.0,4,0.0,0.5,2,0
0.65,0.52,1,0,1,0.0,0.0,4,0.0,0.5,2,0
0.65,0.55,1,0,1,0.0,0.0,3,0.0,0.5,2,0
0.7,0.4,0,0,0,,0.0,23,0.087,0.5,5,0
0.7,0.45,0,0,0,,0.0,12,0.0,0.5,4,0
0.7,0.5,0,0,0,,0.0,5,0.0,0.5,2,0
0.7,0.52,0,0,0,,0.0,5,0.0,0.5,2,0
0.7,0.55,0,0,0,,0.0,4,0.0,0.5,2,0
