tOn,tOff,emits,emitCorrectA,actPrecision,actRecall,emitOnP,prefCorrect,prefRecall,sViolations,harmfulEmit
0.5,0.4,9,5,0.556,0.227,0,3,0.2,8,0
0.5,0.45,9,5,0.556,0.227,0,0,0.0,7,0
0.55,0.4,8,4,0.5,0.182,0,3,0.2,8,0
0.55,0.45,8,4,0.5,0.182,0,0,0.0,7,0
0.55,0.5,8,4,0.5,0.182,0,0,0.0,4,0
0.55,0.52,8,4,0.5,0.182,0,0,0.0,4,0
0.6,0.4,3,0,0.0,0.0,0,3,0.2,8,0
0.6,0.45,3,0,0.0,0.0,0,0,0.0,7,0
0.6,0.5,3,0,0.0,0.0,0,0,0.0,4,0
0.6,0.52,3,0,0.0,0.0,0,0,0.0,4,0
0.6,0.55,3,0,0.0,0.0,0,0,0.0,4,0
0.62,0.4,2,0,0.0,0.0,0,3,0.2,8,0
0.62,0.45,2,0,0.0,0.0,0,0,0.0,7,0
0.62,0.5,2,0,0.0,0.0,0,0,0.0,4,0
0.62,0.52,2,0,0.0,0.0,0,0,0.0,4,0
0.62,0.55,2,0,0.0,0.0,0,0,0.0,4,0
0.65,0.4,1,0,0.0,0.0,0,3,0.2,8,0
0.65,0.45,1,0,0.0,0.0,0,0,0.0,7,0
0.65,0.5,1,0,0.0,0.0,0,0,0.0,4,0
0.65,0.52,1,0,0.0,0.0,0,0,0.0,4,0
0.65,0.55,1,0,0.0,0.0,0,0,0.0,4,0
0.7,0.4,0,0,,0.0,0,3,0.2,8,0
0.7,0.45,0,0,,0.0,0,0,0.0,7,0
0.7,0.5,0,0,,0.0,0,0,0.0,4,0
0.7,0.52,0,0,,0.0,0,0,0.0,4,0
0.7,0.55,0,0,,0.0,0,0,0.0,4,0
