model,policy,chunks,chunks_per_record,avg_chunk_tokens,recall@1,recall@5,recall@10,mrr,ndcg@10,xlang_recall@5,xlang_mrr,code_recall@5,hardneg_error,supersede_correct,xws_mirror_top5_unscoped,xws_scoped_leak,latency_encode_search_p50_ms,latency_encode_search_p95_ms,corpus_encode_seconds,corpus_encode_chunks_per_sec,vector_index_bytes,vector_index_bytes_per_chunk,model_load_seconds,rss_mb_after_model_load,peak_rss_mb,configHash
bge-m3,fixed-256-noov,163,1.072,66.7,0.8182,0.9886,0.9886,0.8945,0.9766,1.0,0.975,1.0,0.1111,0.5,0.8333,0,122.7,183.9,24.6,6.6,667648,4096,2.77,645.9,2053.7,cfgh_fe1ee2b7cc2259ac8145f6fef8a1c8d0837c713dca521e9fdc2366977147c175
bge-m3,fixed-512-noov,154,1.013,70.6,0.8182,0.9659,0.9659,0.8895,0.9109,1.0,0.975,1.0,0.1111,0.5,0.8333,0,135.2,288.9,28.1,5.5,630784,4096,2.77,645.9,2150.4,cfgh_589f9a4e10228f5ca9a3507e32271a5dfa5f2e55db17d817abf5634ef87beb32
bge-m3,fixed-1024-noov,152,1.0,71.6,0.8068,0.9545,0.9659,0.8795,0.8998,1.0,0.975,1.0,0.1111,0.5,0.8333,0,124.5,215.7,29.9,5.1,622592,4096,2.77,645.9,2208.6,cfgh_14767159cfb4a48970e90952a2f872b7c6629fd7c694f949be11082ed0a3c7d6
bge-m3,para-512-noov,154,1.013,70.6,0.8182,0.9659,0.9659,0.8894,0.9205,1.0,0.95,1.0,0.1111,0.5,0.8333,0,122.0,189.2,27.7,5.6,630784,4096,2.77,645.9,2208.6,cfgh_cfcb88333a49b273ed90883d1f0dde1d7171c59ab8135fc5ef966026d4803579
bge-m3,para-512-ov64,154,1.013,70.6,0.8182,0.9659,0.9659,0.8894,0.9205,1.0,0.95,1.0,0.1111,0.5,0.8333,0,127.3,178.9,27.3,5.7,630784,4096,2.77,645.9,2208.6,cfgh_b781c5b27c46ad035750b16cbd1af15b5c4434a9e5e82ef2a75954e7ac9825ed
qwen3-emb-0.6b,fixed-256-noov,160,1.053,57.5,0.7614,0.9659,0.9886,0.8518,0.9357,1.0,0.9417,1.0,0.0741,0.5,0.6667,0,307.6,501.4,38.7,4.1,655360,4096,1.15,2883.2,3354.0,cfgh_12d44b3cb8f482888ed02cdab8b642b108b3d5ab72b3b14ef50c0df9f1513735
qwen3-emb-0.6b,fixed-512-noov,153,1.007,60.2,0.7614,0.9545,0.9659,0.8479,0.8761,1.0,0.9417,1.0,0.0741,0.5,0.6667,0,320.6,510.3,45.6,3.4,626688,4096,1.15,2883.2,4322.9,cfgh_bd0f664219ce968f0a2183d3d1c7e0d86a58f2678454fd89b48ebc1c0a29503a
qwen3-emb-0.6b,fixed-1024-noov,152,1.0,60.5,0.7614,0.9432,0.9545,0.8451,0.8704,1.0,0.9417,1.0,0.0741,0.5,0.6667,0,308.5,512.2,43.1,3.5,622592,4096,1.15,2883.2,4697.7,cfgh_3fc49dbb96d6ce74f1a349af4cec82bc7ba5cd1758da7166d989f4b35d0f925b
qwen3-emb-0.6b,para-512-noov,153,1.007,60.2,0.7727,0.9545,0.9659,0.8535,0.8803,1.0,0.9417,1.0,0.0741,0.5,0.6667,0,282.5,414.2,42.0,3.6,626688,4096,1.15,2883.2,4697.7,cfgh_582e336f0b251700c9b8899568156691d3b0e9d02176bf62497e00e2886eb78a
qwen3-emb-0.6b,para-512-ov64,153,1.007,60.2,0.7727,0.9545,0.9659,0.8535,0.8803,1.0,0.9417,1.0,0.0741,0.5,0.6667,0,313.9,546.3,41.2,3.7,626688,4096,1.15,2883.2,4697.7,cfgh_9a18d57f831692739945e7dc28f1502366cb9dda1dd439adaadce86b73056e4f
multilingual-e5-large,fixed-256-noov,163,1.072,68.6,0.4318,0.7273,0.7614,0.5551,0.6502,0.6,0.3306,1.0,0.0741,0.375,0.6667,0,144.8,301.3,25.7,6.4,667648,4096,3.18,2673.9,3936.3,cfgh_16717d43344db33e3efeb0a227fcba80efc7699425737d89966a6510ac8cc14a
multilingual-e5-large,fixed-512-noov,154,1.013,72.6,0.4545,0.7273,0.8068,0.582,0.6391,0.6,0.3542,1.0,0.0741,0.375,0.6667,0,142.2,222.2,28.7,5.4,630784,4096,3.18,2673.9,3936.3,cfgh_2df4c687de84bcb61d691954b596da2b49a2a269272f33e1ecffdcfdfe1c5577
multilingual-e5-large,fixed-1024-noov,152,1.0,73.6,0.4545,0.7273,0.7955,0.5848,0.6268,0.6,0.3644,1.0,0.0741,0.375,0.6667,0,141.3,232.0,28.5,5.3,622592,4096,3.18,2673.9,3936.3,cfgh_42df831d940781ffcfac5f970ce8605796a94ed8464dbb00b7ece5b752802b9c
multilingual-e5-large,para-512-noov,154,1.013,72.6,0.4432,0.7159,0.7955,0.5744,0.639,0.6,0.362,1.0,0.0741,0.375,0.6667,0,154.5,254.7,27.5,5.6,630784,4096,3.18,2673.9,3936.3,cfgh_7d1f885be2134662bcb264cc84931e8706552a1b184f585abe5c4d6d96b52493
multilingual-e5-large,para-512-ov64,154,1.013,72.6,0.4432,0.7159,0.7955,0.5744,0.639,0.6,0.362,1.0,0.0741,0.375,0.6667,0,135.9,230.6,27.9,5.5,630784,4096,3.18,2673.9,3936.3,cfgh_7111aba33e0c6018a44c440d88da61e4a73e51cafeb0de378c168ca16e34c7a1
